"","C1.vs..C2...Affy","C1.vs..C2...Gene","C1.vs..C4...Affy","C1.vs..C4...Gene","C1.vs..C5...Affy","C1.vs..C5...Gene","C2.vs..C4...Affy","C2.vs..C4...Gene","C2.vs..C5...Affy","C2.vs..C5...Gene","C4.vs..C5...Affy","C4.vs..C5...Gene"
"611","AAAAAAAAAA","AAAAAAAAAA","235296_at","CFD","219890_at","HEPH","AAAAAAAAAA","AAAAAAAAAA","232687_at","TMED5","204646_at","TMEM108"
"612","AAAAAAAAAA","AAAAAAAAAA","1553275_s_at","OLFML2B","225579_at","GBP3","AAAAAAAAAA","AAAAAAAAAA","203665_at","AIM2","226702_at","BACH2"
"613","AAAAAAAAAA","AAAAAAAAAA","243366_s_at","ADRA2A","228367_at","CH25H","AAAAAAAAAA","AAAAAAAAAA","206171_at","NPL","1555497_a_at","CCL20"
"614","AAAAAAAAAA","AAAAAAAAAA","212950_at","DEPDC7","208816_x_at","CXCL2","AAAAAAAAAA","AAAAAAAAAA","219209_at","CST7","204972_at","SP140L"
"615","AAAAAAAAAA","AAAAAAAAAA","206488_s_at","CFH","45297_at","GBP1","AAAAAAAAAA","AAAAAAAAAA","212531_at","NOD2","1558170_at","SP100"
"616","AAAAAAAAAA","AAAAAAAAAA","205428_s_at","DDR2","205943_at","SIGLEC1","AAAAAAAAAA","AAAAAAAAAA","217378_x_at","STEAP1","212063_at","MFAP2"
"617","AAAAAAAAAA","AAAAAAAAAA","231148_at","HIPK1","218802_at","LIPA","AAAAAAAAAA","AAAAAAAAAA","201061_s_at","CHODL","1568838_at","MIR147B"
"618","AAAAAAAAAA","AAAAAAAAAA","243140_at","RGS4","225562_at","GBP2","AAAAAAAAAA","AAAAAAAAAA","213502_x_at","UNC119B","244112_x_at","SNORA11E"
"619","AAAAAAAAAA","AAAAAAAAAA","218181_s_at","PDE4B","204052_s_at","STAT1","AAAAAAAAAA","AAAAAAAAAA","239295_at","SERPINF1","218677_at","SNORA11D"
"620","AAAAAAAAAA","AAAAAAAAAA","224817_at","MICAL2","204205_at","PLS3","AAAAAAAAAA","AAAAAAAAAA","1555745_a_at","LPHN3","205898_at","AAAAAAAAAA"
"621","AAAAAAAAAA","AAAAAAAAAA","226348_at","RGS5","214702_at","NPAS2","AAAAAAAAAA","AAAAAAAAAA","34210_at","BTC","230875_s_at","AAAAAAAAAA"
"622","AAAAAAAAAA","AAAAAAAAAA","235086_at","OLFML3","227070_at","GBP4","AAAAAAAAAA","AAAAAAAAAA","240117_at","MMP9","37892_at","AAAAAAAAAA"
"623","AAAAAAAAAA","AAAAAAAAAA","201286_at","ODZ3","213539_at","GBP5","AAAAAAAAAA","AAAAAAAAAA","234151_at","STEAP2","204124_at","AAAAAAAAAA"
"624","AAAAAAAAAA","AAAAAAAAAA","209276_s_at","TAGLN","229074_at","DDX60L","AAAAAAAAAA","AAAAAAAAAA","216491_x_at","C9orf95","226065_at","AAAAAAAAAA"
"625","AAAAAAAAAA","AAAAAAAAAA","203886_s_at","CFHR1","201667_at","WISP1","AAAAAAAAAA","AAAAAAAAAA","202687_s_at","FRMD4B","208436_s_at","AAAAAAAAAA"
"626","AAAAAAAAAA","AAAAAAAAAA","204017_at","TGFB1I1","208812_x_at","ADCY7","AAAAAAAAAA","AAAAAAAAAA","205382_s_at","SGPP1","238877_at","AAAAAAAAAA"
"627","AAAAAAAAAA","AAAAAAAAAA","220532_s_at","C1S","216321_s_at","LIN28B","AAAAAAAAAA","AAAAAAAAAA","226878_at","CYLD","211651_s_at","AAAAAAAAAA"
"628","AAAAAAAAAA","AAAAAAAAAA","225731_at","SOCS3","226473_at","LAIR1","AAAAAAAAAA","AAAAAAAAAA","202664_at","RBP1","215033_at","AAAAAAAAAA"
"629","AAAAAAAAAA","AAAAAAAAAA","206104_at","GAS7","202988_s_at","SERPINA1","AAAAAAAAAA","AAAAAAAAAA","212850_s_at","FGD2","212813_at","AAAAAAAAAA"
"630","AAAAAAAAAA","AAAAAAAAAA","219386_s_at","MCTP1","201858_s_at","NDRG1","AAAAAAAAAA","AAAAAAAAAA","224358_s_at","SRGN","212233_at","AAAAAAAAAA"
"631","AAAAAAAAAA","AAAAAAAAAA","209555_s_at","RUNX2","205419_at","CRYAB","AAAAAAAAAA","AAAAAAAAAA","225171_at","RASGRP3","204320_at","AAAAAAAAAA"
"632","AAAAAAAAAA","AAAAAAAAAA","212012_at","C1R","241762_at","PALLD","AAAAAAAAAA","AAAAAAAAAA","213992_at","EFNB3","244640_at","AAAAAAAAAA"
"633","AAAAAAAAAA","AAAAAAAAAA","227995_at","RCAN2","224341_x_at","PCOLCE","AAAAAAAAAA","AAAAAAAAAA","226621_at","OSTF1","225345_s_at","AAAAAAAAAA"
"634","AAAAAAAAAA","AAAAAAAAAA","210875_s_at","MRGPRF","204158_s_at","SLC7A7","AAAAAAAAAA","AAAAAAAAAA","238439_at","SLAMF8","223524_s_at","AAAAAAAAAA"
"635","AAAAAAAAAA","AAAAAAAAAA","209324_s_at","PSD3","219947_at","RPL31","AAAAAAAAAA","AAAAAAAAAA","218802_at","LRG1","230102_at","AAAAAAAAAA"
"636","AAAAAAAAAA","AAAAAAAAAA","226609_at","GUCY1A3","205666_at","TMEM200A","AAAAAAAAAA","AAAAAAAAAA","244061_at","HNMT","238327_at","AAAAAAAAAA"
"637","AAAAAAAAAA","AAAAAAAAAA","228766_at","MYLK","217388_s_at","NELL1","AAAAAAAAAA","AAAAAAAAAA","210029_at","EDN3","1556069_s_at","AAAAAAAAAA"
"638","AAAAAAAAAA","AAAAAAAAAA","219390_at","CERCAM","205992_s_at","RASSF5","AAAAAAAAAA","AAAAAAAAAA","239587_at","NCRNA00286A","204529_s_at","AAAAAAAAAA"
"639","AAAAAAAAAA","AAAAAAAAAA","223378_at","CD2","201842_s_at","SAMSN1","AAAAAAAAAA","AAAAAAAAAA","223220_s_at","LACTB","213446_s_at","AAAAAAAAAA"
"640","AAAAAAAAAA","AAAAAAAAAA","213160_at","PTGFRN","221978_at","LILRB1","AAAAAAAAAA","AAAAAAAAAA","229629_at","MSR1","1405_i_at","AAAAAAAAAA"
"641","AAAAAAAAAA","AAAAAAAAAA","215388_s_at","GPR183","219332_at","IFIT2","AAAAAAAAAA","AAAAAAAAAA","214329_x_at","SOBP","224650_at","AAAAAAAAAA"
"642","AAAAAAAAAA","AAAAAAAAAA","215016_x_at","IGJ","228071_at","LOXL1","AAAAAAAAAA","AAAAAAAAAA","219630_at","DPYD","32625_at","AAAAAAAAAA"
"643","AAAAAAAAAA","AAAAAAAAAA","203799_at","GUCY1B3","232914_s_at","CCDC109B","AAAAAAAAAA","AAAAAAAAAA","200791_s_at","CD40","211966_at","AAAAAAAAAA"
"644","AAAAAAAAAA","AAAAAAAAAA","213568_at","TIMP3","235821_at","IFIT3","AAAAAAAAAA","AAAAAAAAAA","210146_x_at","AHNAK2","212646_at","AAAAAAAAAA"
"645","AAAAAAAAAA","AAAAAAAAAA","203058_s_at","CD163","201147_s_at","PRDM1","AAAAAAAAAA","AAAAAAAAAA","203964_at","IGSF9","227253_at","AAAAAAAAAA"
"646","AAAAAAAAAA","AAAAAAAAAA","219165_at","C20orf103","213492_at","TAGAP","AAAAAAAAAA","AAAAAAAAAA","202446_s_at","C22orf9","227481_at","AAAAAAAAAA"
"647","AAAAAAAAAA","AAAAAAAAAA","226279_at","PTGER3","211924_s_at","KIF1A","AAAAAAAAAA","AAAAAAAAAA","220005_at","FAIM3","241763_s_at","AAAAAAAAAA"
"648","AAAAAAAAAA","AAAAAAAAAA","212385_at","TIMP2","209448_at","STK17B","AAAAAAAAAA","AAAAAAAAAA","217967_s_at","OASL","202086_at","AAAAAAAAAA"
"649","AAAAAAAAAA","AAAAAAAAAA","228141_at","CD8A","205639_at","C3orf64","AAAAAAAAAA","AAAAAAAAAA","227856_at","GDF11","205150_s_at","AAAAAAAAAA"
"650","AAAAAAAAAA","AAAAAAAAAA","202746_at","MMP11","204114_at","IFIT1","AAAAAAAAAA","AAAAAAAAAA","211495_x_at","CD14","225575_at","AAAAAAAAAA"
"651","AAAAAAAAAA","AAAAAAAAAA","211742_s_at","IKZF1","221942_s_at","LILRB4","AAAAAAAAAA","AAAAAAAAAA","1553589_a_at","BBOX1","226878_at","AAAAAAAAAA"
"652","AAAAAAAAAA","AAAAAAAAAA","203827_at","CPA3","214719_at","IDO1","AAAAAAAAAA","AAAAAAAAAA","204453_at","CCND2","203349_s_at","AAAAAAAAAA"
"653","AAAAAAAAAA","AAAAAAAAAA","210644_s_at","NEGR1","202269_x_at","CLDN10","AAAAAAAAAA","AAAAAAAAAA","209474_s_at","GAS2L1","212014_x_at","AAAAAAAAAA"
"654","AAAAAAAAAA","AAAAAAAAAA","203951_at","ZMAT3","225496_s_at","FNDC1","AAAAAAAAAA","AAAAAAAAAA","206150_at","HP","203767_s_at","AAAAAAAAAA"
"655","AAAAAAAAAA","AAAAAAAAAA","223392_s_at","SMOC2","209671_x_at","PHC1B","AAAAAAAAAA","AAAAAAAAAA","211776_s_at","ATP1A2","229205_at","AAAAAAAAAA"
"656","AAAAAAAAAA","AAAAAAAAAA","226722_at","SLC2A14","233611_at","BCHE","AAAAAAAAAA","AAAAAAAAAA","219159_s_at","PIGR","228017_s_at","AAAAAAAAAA"
"657","AAAAAAAAAA","AAAAAAAAAA","201721_s_at","MCC","242100_at","MNDA","AAAAAAAAAA","AAAAAAAAAA","220104_at","SALL1","225045_at","AAAAAAAAAA"
"658","AAAAAAAAAA","AAAAAAAAAA","223393_s_at","TDO2","227353_at","RNASEL","AAAAAAAAAA","AAAAAAAAAA","218559_s_at","EFEMP1","217967_s_at","AAAAAAAAAA"
"659","AAAAAAAAAA","AAAAAAAAAA","228071_at","GPR116","214677_x_at","RUNX3","AAAAAAAAAA","AAAAAAAAAA","204891_s_at","KAT2B","205470_s_at","AAAAAAAAAA"
"660","AAAAAAAAAA","AAAAAAAAAA","201125_s_at","RCSD1","213933_at","IFI16","AAAAAAAAAA","AAAAAAAAAA","200887_s_at","IL15RA","234643_x_at","AAAAAAAAAA"
"661","AAAAAAAAAA","AAAAAAAAAA","205908_s_at","THBS2","214211_at","VCAN","AAAAAAAAAA","AAAAAAAAAA","242020_s_at","CA12","226525_at","AAAAAAAAAA"
"662","AAAAAAAAAA","AAAAAAAAAA","236114_at","ZNF697","218805_at","SOD2","AAAAAAAAAA","AAAAAAAAAA","201060_x_at","LRMP","206008_at","AAAAAAAAAA"
"663","AAAAAAAAAA","AAAAAAAAAA","206662_at","SLC2A3","203828_s_at","SRPX","AAAAAAAAAA","AAAAAAAAAA","221840_at","IL18","205363_at","AAAAAAAAAA"
"664","AAAAAAAAAA","AAAAAAAAAA","227911_at","PTPRC","222294_s_at","AIM1","AAAAAAAAAA","AAAAAAAAAA","204150_at","KYNU","226789_at","AAAAAAAAAA"
"665","AAAAAAAAAA","AAAAAAAAAA","205269_at","TMPRSS3","239296_at","FAM69A","AAAAAAAAAA","AAAAAAAAAA","204724_s_at","EFHA2","210260_s_at","AAAAAAAAAA"
"666","AAAAAAAAAA","AAAAAAAAAA","211966_at","ENOX1","1564077_at","SLC25A43","AAAAAAAAAA","AAAAAAAAAA","202643_s_at","VCAM1","210105_s_at","AAAAAAAAAA"
"667","AAAAAAAAAA","AAAAAAAAAA","210571_s_at","SPRED1","236035_at","SNX20","AAAAAAAAAA","AAAAAAAAAA","209417_s_at","BTN3A2","235766_x_at","AAAAAAAAAA"
"668","AAAAAAAAAA","AAAAAAAAAA","204588_s_at","PRKG1","211776_s_at","STEAP4","AAAAAAAAAA","AAAAAAAAAA","209310_s_at","PDZK1IP1","225911_at","AAAAAAAAAA"
"669","AAAAAAAAAA","AAAAAAAAAA","223690_at","FCGR1B","225345_s_at","PANK1","AAAAAAAAAA","AAAAAAAAAA","214470_at","TCF7L1","234331_s_at","AAAAAAAAAA"
"670","AAAAAAAAAA","AAAAAAAAAA","34210_at","C3AR1","224795_x_at","RGS16","AAAAAAAAAA","AAAAAAAAAA","205671_s_at","ARHGAP15","211456_x_at","AAAAAAAAAA"
"671","AAAAAAAAAA","AAAAAAAAAA","1557080_s_at","SPON2","204103_at","NASP","AAAAAAAAAA","AAAAAAAAAA","218451_at","HPR","203021_at","AAAAAAAAAA"
"672","AAAAAAAAAA","AAAAAAAAAA","233442_at","LRRC17","216920_s_at","COPZ2","AAAAAAAAAA","AAAAAAAAAA","203085_s_at","CASC1","216336_x_at","AAAAAAAAAA"
"673","AAAAAAAAAA","AAAAAAAAAA","201149_s_at","CNRIP1","224917_at","NPL","AAAAAAAAAA","AAAAAAAAAA","220532_s_at","MAFF","201505_at","AAAAAAAAAA"
"674","AAAAAAAAAA","AAAAAAAAAA","231001_at","SLC35D3","216526_x_at","CST7","AAAAAAAAAA","AAAAAAAAAA","208982_at","NTF3","221675_s_at","AAAAAAAAAA"
"675","AAAAAAAAAA","AAAAAAAAAA","213249_at","COL8A1","201554_x_at","C8orf4","AAAAAAAAAA","AAAAAAAAAA","223322_at","BEND5","213610_s_at","AAAAAAAAAA"
"676","AAAAAAAAAA","AAAAAAAAAA","227346_at","WIPI1","204780_s_at","ATP10D","AAAAAAAAAA","AAAAAAAAAA","214765_s_at","IRAK2","242064_at","AAAAAAAAAA"
"677","AAAAAAAAAA","AAAAAAAAAA","212254_s_at","FABP4","214459_x_at","STEAP1","AAAAAAAAAA","AAAAAAAAAA","209734_at","SERPINA3","208581_x_at","AAAAAAAAAA"
"678","AAAAAAAAAA","AAAAAAAAAA","210845_s_at","MFAP5","44673_at","ARL6IP5","AAAAAAAAAA","AAAAAAAAAA","214777_at","FZD2","201510_at","AAAAAAAAAA"
"679","AAAAAAAAAA","AAAAAAAAAA","52651_at","C13orf31","225799_at","SH3D19","AAAAAAAAAA","AAAAAAAAAA","242452_at","CD80","225540_at","AAAAAAAAAA"
"680","AAAAAAAAAA","AAAAAAAAAA","222895_s_at","DPT","239295_at","TPM1","AAAAAAAAAA","AAAAAAAAAA","230966_at","ZNF667","209877_at","AAAAAAAAAA"
"681","AAAAAAAAAA","AAAAAAAAAA","205168_at","FAM20A","203332_s_at","SERPINF1","AAAAAAAAAA","AAAAAAAAAA","201554_x_at","NCF2","218858_at","AAAAAAAAAA"
"682","AAAAAAAAAA","AAAAAAAAAA","223595_at","FILIP1L","214761_at","EMILIN1","AAAAAAAAAA","AAAAAAAAAA","204661_at","ZEB2","202237_at","AAAAAAAAAA"
"683","AAAAAAAAAA","AAAAAAAAAA","226677_at","TPBG","227265_at","MMP9","AAAAAAAAAA","AAAAAAAAAA","203234_at","DEFB1","228570_at","AAAAAAAAAA"
"684","AAAAAAAAAA","AAAAAAAAAA","235834_at","ABCA8","225782_at","STEAP2","AAAAAAAAAA","AAAAAAAAAA","224701_at","ISG15","229194_at","AAAAAAAAAA"
"685","AAAAAAAAAA","AAAAAAAAAA","209356_x_at","RHOBTB3","211430_s_at","C9orf95","AAAAAAAAAA","AAAAAAAAAA","239296_at","PCGF5","238032_at","AAAAAAAAAA"
"686","AAAAAAAAAA","AAAAAAAAAA","206666_at","IL10RA","226103_at","FRMD4B","AAAAAAAAAA","AAAAAAAAAA","50221_at","EIF4E3","209220_at","AAAAAAAAAA"
"687","AAAAAAAAAA","AAAAAAAAAA","235438_at","DLL1","1554240_a_at","SGPP1","AAAAAAAAAA","AAAAAAAAAA","231779_at","CDKN2C","214282_at","AAAAAAAAAA"
"688","AAAAAAAAAA","AAAAAAAAAA","223343_at","ANTXR1","213716_s_at","RBP1","AAAAAAAAAA","AAAAAAAAAA","209696_at","NCAM1","214104_at","AAAAAAAAAA"
"689","AAAAAAAAAA","AAAAAAAAAA","242680_at","THBS1","211902_x_at","SRGN","AAAAAAAAAA","AAAAAAAAAA","204222_s_at","LCN2","216033_s_at","AAAAAAAAAA"
"690","AAAAAAAAAA","AAAAAAAAAA","210986_s_at","LAMA4","206796_at","AEBP1","AAAAAAAAAA","AAAAAAAAAA","221958_s_at","AADAT","216834_at","AAAAAAAAAA"
"691","AAAAAAAAAA","AAAAAAAAAA","236044_at","ITGB5","221671_x_at","RASGRP3","AAAAAAAAAA","AAAAAAAAAA","226853_at","C4orf32","226388_at","AAAAAAAAAA"
"692","AAAAAAAAAA","AAAAAAAAAA","226814_at","NHSL1","1553995_a_at","OSTF1","AAAAAAAAAA","AAAAAAAAAA","242943_at","VNN1","205282_at","AAAAAAAAAA"
"693","AAAAAAAAAA","AAAAAAAAAA","202953_at","CYTIP","213069_at","SLAMF8","AAAAAAAAAA","AAAAAAAAAA","216984_x_at","IL11RA","212185_x_at","AAAAAAAAAA"
"694","AAAAAAAAAA","AAAAAAAAAA","231240_at","HEG1","212873_at","HNMT","AAAAAAAAAA","AAAAAAAAAA","231109_at","VANGL2","223748_at","AAAAAAAAAA"
"695","AAAAAAAAAA","AAAAAAAAAA","209906_at","ID1","240440_at","EDN3","AAAAAAAAAA","AAAAAAAAAA","211637_x_at","VAV3","202270_at","AAAAAAAAAA"
"696","AAAAAAAAAA","AAAAAAAAAA","241435_at","TMEM45A","221651_x_at","FBN1","AAAAAAAAAA","AAAAAAAAAA","221872_at","CD84","211959_at","AAAAAAAAAA"
"697","AAAAAAAAAA","AAAAAAAAAA","201061_s_at","GLRX","217078_s_at","NCRNA00286A","AAAAAAAAAA","AAAAAAAAAA","204949_at","C3orf15","221911_at","AAAAAAAAAA"
"698","AAAAAAAAAA","AAAAAAAAAA","224550_s_at","SLC12A8","217436_x_at","SPATS2L","AAAAAAAAAA","AAAAAAAAAA","211275_s_at","ZNF334","205979_at","AAAAAAAAAA"
"699","AAAAAAAAAA","AAAAAAAAAA","220330_s_at","FAM198B","207419_s_at","MSR1","AAAAAAAAAA","AAAAAAAAAA","211339_s_at","CAPG","223623_at","AAAAAAAAAA"
"700","AAAAAAAAAA","AAAAAAAAAA","204780_s_at","COL1A1","229937_x_at","SOBP","AAAAAAAAAA","AAAAAAAAAA","236421_at","SCG5","202965_s_at","AAAAAAAAAA"
"701","AAAAAAAAAA","AAAAAAAAAA","202156_s_at","CD69","223391_at","DPYD","AAAAAAAAAA","AAAAAAAAAA","205114_s_at","GIMAP8","239808_at","AAAAAAAAAA"
"702","AAAAAAAAAA","AAAAAAAAAA","202458_at","CLEC2B","218638_s_at","EDIL3","AAAAAAAAAA","AAAAAAAAAA","207822_at","GIMAP7","228780_at","AAAAAAAAAA"
"703","AAAAAAAAAA","AAAAAAAAAA","1556427_s_at","SELL","229560_at","MITF","AAAAAAAAAA","AAAAAAAAAA","232478_at","GIMAP4","243729_at","AAAAAAAAAA"
"704","AAAAAAAAAA","AAAAAAAAAA","203980_at","ISM1","200791_s_at","AHNAK2","AAAAAAAAAA","AAAAAAAAAA","207691_x_at","CD48","227725_at","AAAAAAAAAA"
"705","AAAAAAAAAA","AAAAAAAAAA","224937_at","ELL2","206666_at","DCLK1","AAAAAAAAAA","AAAAAAAAAA","207777_s_at","FAM129A","222881_at","AAAAAAAAAA"
"706","AAAAAAAAAA","AAAAAAAAAA","235740_at","MARCKS","221935_s_at","IGSF9","AAAAAAAAAA","AAAAAAAAAA","201548_s_at","GIMAP6","232105_at","AAAAAAAAAA"
"707","AAAAAAAAAA","AAAAAAAAAA","209541_at","TMEM133","209138_x_at","C22orf9","AAAAAAAAAA","AAAAAAAAAA","209716_at","SLAMF7","224218_s_at","AAAAAAAAAA"
"708","AAAAAAAAAA","AAAAAAAAAA","202158_s_at","NALCN","203827_at","OASL","AAAAAAAAAA","AAAAAAAAAA","213261_at","SCO2","202712_s_at","AAAAAAAAAA"
"709","AAAAAAAAAA","AAAAAAAAAA","205560_at","DLK1","225275_at","FIBIN","AAAAAAAAAA","AAAAAAAAAA","228333_at","TMEM132B","229842_at","AAAAAAAAAA"
"710","AAAAAAAAAA","AAAAAAAAAA","241026_at","EHF","204416_x_at","GDF11","AAAAAAAAAA","AAAAAAAAAA","228372_at","TYMP","206461_x_at","AAAAAAAAAA"
"711","AAAAAAAAAA","AAAAAAAAAA","230550_at","TMED7-TICAM2","215121_x_at","CD14","AAAAAAAAAA","AAAAAAAAAA","237753_at","GIMAP2","227249_at","AAAAAAAAAA"
"712","AAAAAAAAAA","AAAAAAAAAA","204254_s_at","CLEC7A","204533_at","BBOX1","AAAAAAAAAA","AAAAAAAAAA","1567101_at","TM7SF3","202068_s_at","AAAAAAAAAA"
"713","AAAAAAAAAA","AAAAAAAAAA","201215_at","TICAM2","217362_x_at","GAS2L1","AAAAAAAAAA","AAAAAAAAAA","217404_s_at","CD27","201069_at","AAAAAAAAAA"
"714","AAAAAAAAAA","AAAAAAAAAA","1557527_at","PRRX1","221909_at","HP","AAAAAAAAAA","AAAAAAAAAA","222164_at","EYA4","231577_s_at","AAAAAAAAAA"
"715","AAAAAAAAAA","AAAAAAAAAA","211675_s_at","OLR1","204561_x_at","ATP1A2","AAAAAAAAAA","AAAAAAAAAA","211798_x_at","AMPD3","218162_at","AAAAAAAAAA"
"716","AAAAAAAAAA","AAAAAAAAAA","211071_s_at","DAPL1","206392_s_at","SALL1","AAAAAAAAAA","AAAAAAAAAA","204914_s_at","TAPBPL","226610_at","AAAAAAAAAA"
"717","AAAAAAAAAA","AAAAAAAAAA","204959_at","ITGBL1","1554285_at","TGM2","AAAAAAAAAA","AAAAAAAAAA","203281_s_at","CCL19","218613_at","AAAAAAAAAA"
"718","AAAAAAAAAA","AAAAAAAAAA","221234_s_at","PRICKLE1","218451_at","EFEMP1","AAAAAAAAAA","AAAAAAAAAA","202688_at","GIMAP1","230369_at","AAAAAAAAAA"
"719","AAAAAAAAAA","AAAAAAAAAA","203416_at","COL10A1","209310_s_at","OSTM1","AAAAAAAAAA","AAAAAAAAAA","223593_at","ALDH3B2","204790_at","AAAAAAAAAA"
"720","AAAAAAAAAA","AAAAAAAAAA","206580_s_at","FMO2","222020_s_at","UBE2QL1","AAAAAAAAAA","AAAAAAAAAA","234764_x_at","MED21","225353_s_at","AAAAAAAAAA"
"721","AAAAAAAAAA","AAAAAAAAAA","226436_at","NT5E","201170_s_at","LRRC15","AAAAAAAAAA","AAAAAAAAAA","229450_at","NEDD9","1556055_at","AAAAAAAAAA"
"722","AAAAAAAAAA","AAAAAAAAAA","215198_s_at","FMO1","201865_x_at","MECOM","AAAAAAAAAA","AAAAAAAAAA","216207_x_at","MEF2C","212382_at","AAAAAAAAAA"
"723","AAAAAAAAAA","AAAAAAAAAA","205786_s_at","SDC2","226875_at","KAT2B","AAAAAAAAAA","AAAAAAAAAA","203298_s_at","UNC93B1","202238_s_at","AAAAAAAAAA"
"724","AAAAAAAAAA","AAAAAAAAAA","202157_s_at","ACSL1","1562194_at","COTL1","AAAAAAAAAA","AAAAAAAAAA","210218_s_at","C10orf128","235044_at","AAAAAAAAAA"
"725","AAAAAAAAAA","AAAAAAAAAA","213059_at","HSD17B6","231577_s_at","TOX3","AAAAAAAAAA","AAAAAAAAAA","212681_at","RASSF2","225033_at","AAAAAAAAAA"
"726","AAAAAAAAAA","AAAAAAAAAA","207275_s_at","FCGR1A","230836_at","IL15RA","AAAAAAAAAA","AAAAAAAAAA","218824_at","BTN3A3","209969_s_at","AAAAAAAAAA"
"727","AAAAAAAAAA","AAAAAAAAAA","238025_at","FN1","37512_at","CA12","AAAAAAAAAA","AAAAAAAAAA","229041_s_at","CD52","203348_s_at","AAAAAAAAAA"
"728","AAAAAAAAAA","AAAAAAAAAA","211597_s_at","DSE","1558199_at","IL18","AAAAAAAAAA","AAAAAAAAAA","211700_s_at","GNG2","222750_s_at","AAAAAAAAAA"
"729","AAAAAAAAAA","AAAAAAAAAA","230261_at","BICC1","213241_at","KYNU","AAAAAAAAAA","AAAAAAAAAA","38487_at","GIMAP5","204400_at","AAAAAAAAAA"
"730","AAAAAAAAAA","AAAAAAAAAA","235306_at","HS3ST3B1","223484_at","VCAM1","AAAAAAAAAA","AAAAAAAAAA","229350_x_at","PCP4","227524_at","AAAAAAAAAA"
"731","AAAAAAAAAA","AAAAAAAAAA","207714_s_at","PMP22","205579_at","C1orf116","AAAAAAAAAA","AAAAAAAAAA","204960_at","SFMBT2","205579_at","AAAAAAAAAA"
"732","AAAAAAAAAA","AAAAAAAAAA","209612_s_at","FNIP2","202430_s_at","ISLR","AAAAAAAAAA","AAAAAAAAAA","1559063_at","TMEM176B","225571_at","AAAAAAAAAA"
"733","AAAAAAAAAA","AAAAAAAAAA","205433_at","C13orf18","203234_at","BTN3A2","AAAAAAAAAA","AAAAAAAAAA","210220_at","BCL7A","221004_s_at","AAAAAAAAAA"
"734","AAAAAAAAAA","AAAAAAAAAA","201787_at","NAV1","212390_at","PDZK1IP1","AAAAAAAAAA","AAAAAAAAAA","225048_at","IL4R","204959_at","AAAAAAAAAA"
"735","AAAAAAAAAA","AAAAAAAAAA","213974_at","ATP6V1B1","227188_at","TCF7L1","AAAAAAAAAA","AAAAAAAAAA","235355_at","C2orf40","226084_at","AAAAAAAAAA"
"736","AAAAAAAAAA","AAAAAAAAAA","203706_s_at","TNFSF4","203865_s_at","ARHGAP15","AAAAAAAAAA","AAAAAAAAAA","216401_x_at","KIF5C","212859_x_at","AAAAAAAAAA"
"737","AAAAAAAAAA","AAAAAAAAAA","239296_at","ECM1","213765_at","HPR","AAAAAAAAAA","AAAAAAAAAA","229178_at","IRF8","224916_at","AAAAAAAAAA"
"738","AAAAAAAAAA","AAAAAAAAAA","210987_x_at","PROCR","204337_at","TSPAN12","AAAAAAAAAA","AAAAAAAAAA","221903_s_at","ODF3B","202510_s_at","AAAAAAAAAA"
"739","AAAAAAAAAA","AAAAAAAAAA","223730_at","KDELC1","241435_at","CASC1","AAAAAAAAAA","AAAAAAAAAA","227822_at","IL21R","207563_s_at","AAAAAAAAAA"
"740","AAAAAAAAAA","AAAAAAAAAA","1554195_a_at","PLAGL1","208789_at","MAFF","AAAAAAAAAA","AAAAAAAAAA","203042_at","TMEM176A","214620_x_at","AAAAAAAAAA"
"741","AAAAAAAAAA","AAAAAAAAAA","226676_at","SOX4","215379_x_at","ENPP1","AAAAAAAAAA","AAAAAAAAAA","241682_at","MLKL","236640_at","AAAAAAAAAA"
"742","AAAAAAAAAA","AAAAAAAAAA","206201_s_at","MMP1","231202_at","COL11A1","AAAAAAAAAA","AAAAAAAAAA","217148_x_at","ARHGAP30","226611_s_at","AAAAAAAAAA"
"743","AAAAAAAAAA","AAAAAAAAAA","212609_s_at","CTSK","213496_at","C7orf58","AAAAAAAAAA","AAAAAAAAAA","204915_s_at","LRP8","201468_s_at","AAAAAAAAAA"
"744","AAAAAAAAAA","AAAAAAAAAA","219304_s_at","LRP1","205422_s_at","CTGF","AAAAAAAAAA","AAAAAAAAAA","204913_s_at","DACH1","204745_x_at","AAAAAAAAAA"
"745","AAAAAAAAAA","AAAAAAAAAA","218345_at","MMP13","1567224_at","IRAK2","AAAAAAAAAA","AAAAAAAAAA","228433_at","FZD10","226677_at","AAAAAAAAAA"
"746","AAAAAAAAAA","AAAAAAAAAA","228218_at","IGFBP5","205119_s_at","MOXD1","AAAAAAAAAA","AAAAAAAAAA","206295_at","NAAA","239665_at","AAAAAAAAAA"
"747","AAAAAAAAAA","AAAAAAAAAA","228772_at","C16orf54","226853_at","FZD2","AAAAAAAAAA","AAAAAAAAAA","209626_s_at","NINL","203355_s_at","AAAAAAAAAA"
"748","AAAAAAAAAA","AAAAAAAAAA","202052_s_at","DCBLD1","215313_x_at","CRISPLD2","AAAAAAAAAA","AAAAAAAAAA","227253_at","LAMP2","201792_at","AAAAAAAAAA"
"749","AAAAAAAAAA","AAAAAAAAAA","212845_at","FOLR1","211671_s_at","MFAP3L","AAAAAAAAAA","AAAAAAAAAA","204820_s_at","ST6GALNAC1","1554863_s_at","AAAAAAAAAA"
